statefp,stname,location_id,region,division,seats
1,Alabama,AL,South,East South Central,7
2,Alaska,AK,West,Pacific,1
4,Arizona,AZ,West,Mountain,9
5,Arkansas,AR,South,West South Central,4
6,California,CA,West,Pacific,53
8,Colorado,CO,West,Mountain,7
9,Connecticut,CT,Northeast,New England,5
10,Delaware,DE,South,South Atlantic,1
12,Florida,FL,South,South Atlantic,27
13,Georgia,GA,South,South Atlantic,14
15,Hawaii,HI,West,Pacific,2
16,Idaho,ID,West,Mountain,2
17,Illinois,IL,Midwest,East North Central,18
18,Indiana,IN,Midwest,East North Central,9
19,Iowa,IA,Midwest,West North Central,4
20,Kansas,KS,Midwest,West North Central,4
21,Kentucky,KY,South,East South Central,6
22,Louisiana,LA,South,West South Central,6
23,Maine,ME,Northeast,New England,2
24,Maryland,MD,South,South Atlantic,8
25,Massachusetts,MA,Northeast,New England,9
26,Michigan,MI,Midwest,East North Central,14
27,Minnesota,MN,Midwest,West North Central,8
28,Mississippi,MS,South,East South Central,4
29,Missouri,MO,Midwest,West North Central,8
30,Montana,MT,West,Mountain,1
31,Nebraska,NE,Midwest,West North Central,3
32,Nevada,NV,West,Mountain,4
33,New Hampshire,NH,Northeast,New England,2
34,New Jersey,NJ,Northeast,Middle Atlantic,12
35,New Mexico,NM,West,Mountain,3
36,New York,NY,Northeast,Middle Atlantic,27
37,North Carolina,NC,South,South Atlantic,13
38,North Dakota,ND,Midwest,West North Central,1
39,Ohio,OH,Midwest,East North Central,16
40,Oklahoma,OK,South,West South Central,5
41,Oregon,OR,West,Pacific,5
42,Pennsylvania,PA,Northeast,Middle Atlantic,18
44,Rhode Island,RI,Northeast,New England,2
45,South Carolina,SC,South,South Atlantic,7
46,South Dakota,SD,Midwest,West North Central,1
47,Tennessee,TN,South,East South Central,9
48,Texas,TX,South,West South Central,36
49,Utah,UT,West,Mountain,4
50,Vermont,VT,Northeast,New England,1
51,Virginia,VA,South,South Atlantic,11
53,Washington,WA,West,Pacific,10
54,West Virginia,WV,South,South Atlantic,3
55,Wisconsin,WI,Midwest,East North Central,8
56,Wyoming,WY,West,Mountain,1
72,Puerto Rico,PR,South,South Atlantic,0
66,Guam,GU,South,Pacific,0
78,U.S. Virgin Islands,VI,South,South Atlantic,0
60,American Samoa,AS,South,Pacific,0
69,Northern Mariana Islands,MP,South,Pacific,0
11,District of Columbia,DC,South,South Atlantic,0
